Work_Order,Root_Work_Order,wo_depot,asset_depot,Asset,description,Comment on WO SiteReport,priority,job_type,Gas in Property,Component,Corrective Action,Repairs,Corrosion,Fracture,Failure,Interference,Other,status,status_date,scheduled_start,actual_finish,Location,principal_street,post_town,out_code,in_code,Lead_Id,Lead_Name,Material,Diameter
W2302987,W2302984,ABERDEEN,ABERDEEN,ASSET-7282,Service pipe leak repair,Root damage identified,1,IR,YES,MAIN,Riser section replaced,N,0,0,0,0,1,PEND,2026-05-27 09:17:36,2026-05-27 07:16:00,2026-05-27 09:17:36,LOC-ABD-720,VICTORIA ROAD,ABERDEEN,AB6,1JU,ENG010,Brian Thomson,CI,150
W2302988,W2302978,ABERDEEN,ABERDEEN,ASSET-5038,Main repair following excavation,Leak found at joint under pavement,2,ME,NO  [Root WO: Gas in Property = NO],VALVE,PE joint re-made,N,0,1,0,0,0,OPEN,2026-05-26 11:44:09,2026-05-26 08:26:00,2026-05-26 11:44:09,LOC-ABD-767,HIGH STREET,ABERDEEN,AB8,9RP,ENG005,Fiona Cameron,AC,250
W2302989,W2302979,DUNDEE,DUNDEE,ASSET-0819,Routine repair WO,Excavation required,4,IR,NO,RISER,Pipe section renewed,Y,0,1,0,0,0,PEND,2026-05-26 15:34:52,2026-05-26 12:30:00,2026-05-26 15:34:52,LOC-DND-154,MARKET STREET,DUNDEE,DN2,6IC,ENG009,Lorna Mitchell,ST,32
W2302990,W2302985,DUNDEE,DUNDEE,ASSET-4505,Emergency service connection,PE joint failure on low pressure,2,EM,YES,VALVE,Temporary repair applied,Y,0,0,0,0,1,OPEN,2026-05-26 16:11:25,2026-05-26 09:00:00,2026-05-26 16:11:25,LOC-DND-102,CHURCH STREET,DUNDEE,DN1,8FC,ENG005,Fiona Cameron,PE,200
W2302991,W2302984,MOTHERWELL,MOTHERWELL,ASSET-3497,Main repair following excavation,Bypass valve faulty,4,EM,NO  [Root WO: Gas in Property = NO],VALVE,Temporary repair applied,N,0,0,0,1,0,COMP,2026-05-26 09:17:49,2026-05-26 06:01:00,2026-05-26 09:17:49,LOC-MTH-176,KING STREET,MOTHERWELL,MT6,8NA,ENG009,Lorna Mitchell,ST,200
W2302992,W2302991,MOTHERWELL,MOTHERWELL,ASSET-1530,Emergency service connection,Temporary clamp applied,1,MR,NO  [Root WO: Gas in Property = NO],RISER,Monitor and review,N,0,0,0,0,1,PEND,2026-05-26 19:32:15,2026-05-26 13:53:00,2026-05-26 19:32:15,LOC-MTH-952,PRINCES STREET,MOTHERWELL,MT1,2TC,ENG009,Lorna Mitchell,ST,100
W2302993,W2302986,PAISLEY,PAISLEY,ASSET-2237,PE pipe section renewal,Root damage identified,1,EM,NO  [Root WO: Gas in Property = NO],JOINT,PE joint re-made,N,0,0,0,1,0,CLOSE,2026-05-26 16:13:19,2026-05-26 11:55:00,2026-05-26 16:13:19,LOC-PSL-114,MARKET STREET,PAISLEY,PS2,5KK,ENG015,Diane Kerr,PE,200
W2302994,W2302984,PAISLEY,PAISLEY,ASSET-1118,Routine repair WO,PE joint failure on low pressure,4,EM,NO  [Root WO: Gas in Property = NO],SERVICE PIPE,Monitor and review,N,0,0,0,1,0,COMP,2026-05-27 13:23:04,2026-05-27 08:18:00,2026-05-27 13:23:04,LOC-PSL-794,BUCHANAN STREET,PAISLEY,PS7,9DF,ENG013,Lynn Murray,ST,100
W2302995,W2302985,ABERDEEN,ABERDEEN,ASSET-4160,Valve replacement,PE joint failure on low pressure,4,ME,NO  [Root WO: Gas in Property = YES],RISER,Pipe section renewed,N,1,0,0,0,0,CLOSE,2026-05-26 17:30:04,2026-05-26 11:45:00,2026-05-26 17:30:04,LOC-ABD-730,VICTORIA ROAD,ABERDEEN,AB5,4PB,ENG002,Alistair Fraser,ST,250
W2302996,W2302992,MOTHERWELL,MOTHERWELL,ASSET-0201,Service riser inspection,Corrosion on steel riser above ground,4,IR,NO,SERVICE PIPE,Monitor and review,Y,0,1,0,0,0,CLOSE,2026-05-27 15:15:35,2026-05-27 09:06:00,2026-05-27 15:15:35,LOC-MTH-431,CHURCH STREET,MOTHERWELL,MT3,4JD,ENG004,Douglas Reid,AC,32
W2302997,W2302992,DUNDEE,DUNDEE,ASSET-4221,Corrosion repair on main,Bypass valve faulty,4,IR,YES,JOINT,Valve replaced,Y,1,0,0,0,0,COMP,2026-05-27 22:22:00,2026-05-27 13:33:00,2026-05-27 22:22:00,LOC-DND-498,PRINCES STREET,DUNDEE,DN5,5NS,ENG011,Sandra Gillies,ST,200
W2302998,W2302996,INVERNESS,INVERNESS,ASSET-9009,Service riser inspection,Excavation required,4,IR,NO  [Root WO: Gas in Property = YES],JOINT,Isolation applied,N,0,0,1,0,0,COMP,2026-05-27 14:17:50,2026-05-27 08:34:00,2026-05-27 14:17:50,LOC-INV-809,CHURCH STREET,INVERNESS,IN1,5ML,ENG014,Ross Campbell,AC,250
W2302999,W2302994,EDINBURGH,EDINBURGH,ASSET-8931,Pressure drop investigation,Bypass valve faulty,3,ME,NO,SERVICE PIPE,Section replaced with PE,N,0,0,0,0,1,CLOSE,2026-05-27 19:16:58,2026-05-27 13:42:00,2026-05-27 19:16:58,LOC-EDI-354,UNION STREET,EDINBURGH,ED7,9DA,ENG001,John MacDonald,PE,150
W2303000,W2302995,MOTHERWELL,MOTHERWELL,ASSET-4679,Meter bypass repair,Customer reported smell,1,ME,NO,JOINT,Valve replaced,Y,0,0,1,0,0,OPEN,2026-05-27 16:27:49,2026-05-27 08:19:00,2026-05-27 16:27:49,LOC-MTH-026,MAIN STREET,MOTHERWELL,MT6,6KC,ENG001,John MacDonald,AC,32
W2303001,W2302993,DUNDEE,DUNDEE,ASSET-9738,Corrosion repair on main,PE joint failure on low pressure,2,ME,NO  [Root WO: Gas in Property = YES],RISER,Section replaced with PE,Y,0,0,1,0,0,OPEN,2026-05-26 14:44:52,2026-05-26 10:18:00,2026-05-26 14:44:52,LOC-DND-325,PRINCES STREET,DUNDEE,DN9,1JG,ENG004,Douglas Reid,ST,100
W2303002,W2302999,PAISLEY,PAISLEY,ASSET-2464,Service riser inspection,Bypass valve faulty,3,IR,YES,RISER,Monitor and review,N,0,0,1,0,0,CLOSE,2026-05-26 17:01:18,2026-05-26 08:50:00,2026-05-26 17:01:18,LOC-PSL-491,MAIN STREET,PAISLEY,PS6,9EC,ENG001,John MacDonald,PE,150
W2303003,W2303001,DUNDEE,DUNDEE,ASSET-4525,Pressure drop investigation,PE joint failure on low pressure,3,EM,NO,METER,Pipe section renewed,N,0,0,1,0,0,CLOSE,2026-05-27 15:31:24,2026-05-27 08:32:00,2026-05-27 15:31:24,LOC-DND-352,VICTORIA ROAD,DUNDEE,DN9,1XF,ENG006,Kevin McAllister,AC,63
W2303004,W2302996,ABERDEEN,ABERDEEN,ASSET-6956,PE pipe section renewal,Leak found at joint under pavement,2,MR,YES,METER,Riser section replaced,N,0,0,0,1,0,OPEN,2026-05-26 11:43:56,2026-05-26 09:05:00,2026-05-26 11:43:56,LOC-ABD-143,MAIN STREET,ABERDEEN,AB3,9JF,ENG010,Brian Thomson,PE,32
W2303005,W2302996,GLASGOW,GLASGOW,ASSET-1681,Emergency service connection,Root damage identified,2,EM,NO  [Root WO: Gas in Property = NO],MAIN,PE joint re-made,Y,0,0,1,0,0,COMP,2026-05-27 14:01:36,2026-05-27 11:04:00,2026-05-27 14:01:36,LOC-GLW-513,BUCHANAN STREET,GLASGOW,GL2,7LP,ENG005,Fiona Cameron,PE,200
W2303006,W2303000,INVERNESS,INVERNESS,ASSET-5691,Gas smell report investigation,Leak found at joint under pavement,4,EM,NO  [Root WO: Gas in Property = NO],VALVE,Isolation applied,N,0,1,0,0,0,COMP,2026-05-26 11:23:51,2026-05-26 09:04:00,2026-05-26 11:23:51,LOC-INV-120,BUCHANAN STREET,INVERNESS,IN7,4TQ,ENG015,Diane Kerr,ST,200
W2303007,W2303002,GLASGOW,GLASGOW,ASSET-3716,Gas smell report investigation,Bypass valve faulty,1,IR,NO  [Root WO: Gas in Property = YES],RISER,Riser section replaced,Y,0,0,1,0,0,PEND,2026-05-26 18:37:59,2026-05-26 09:47:00,2026-05-26 18:37:59,LOC-GLW-439,PRINCES STREET,GLASGOW,GL8,2YI,ENG012,Neil Forsyth,ST,250
W2303008,W2303001,EDINBURGH,EDINBURGH,ASSET-8071,Service pipe leak repair,Corrosion on steel riser above ground,1,MR,NO,METER,Isolation applied,Y,0,0,0,1,0,CLOSE,2026-05-26 17:10:06,2026-05-26 11:01:00,2026-05-26 17:10:06,LOC-EDI-806,MAIN STREET,EDINBURGH,ED3,9AQ,ENG005,Fiona Cameron,AC,250
W2303009,W2303007,DUNDEE,DUNDEE,ASSET-6303,Valve replacement,Excavation required,2,ME,NO,MAIN,Monitor and review,Y,0,0,0,0,1,PEND,2026-05-26 17:42:32,2026-05-26 09:21:00,2026-05-26 17:42:32,LOC-DND-361,KING STREET,DUNDEE,DN1,8FX,ENG002,Alistair Fraser,PE,32
W2303010,W2303009,EDINBURGH,EDINBURGH,ASSET-3569,Joint failure investigation,No visible defect found on main,3,EM,NO  [Root WO: Gas in Property = YES],MAIN,Riser section replaced,Y,0,0,0,1,0,COMP,2026-05-26 20:43:29,2026-05-26 13:34:00,2026-05-26 20:43:29,LOC-EDI-744,MAIN STREET,EDINBURGH,ED4,4RT,ENG009,Lorna Mitchell,AC,250
W2303011,W2303003,MOTHERWELL,MOTHERWELL,ASSET-6037,Gas smell report investigation,Excavation required,4,MR,NO,METER,Section replaced with PE,N,0,0,1,0,0,PEND,2026-05-27 16:15:48,2026-05-27 12:27:00,2026-05-27 16:15:48,LOC-MTH-054,MAIN STREET,MOTHERWELL,MT8,1KF,ENG002,Alistair Fraser,AC,25
W2303012,W2303008,AYR,AYR,ASSET-6374,Service pipe leak repair,Bypass valve faulty,4,EM,YES,SERVICE PIPE,Temporary repair applied,N,1,0,0,0,0,OPEN,2026-05-27 22:15:08,2026-05-27 13:52:00,2026-05-27 22:15:08,LOC-AYR-001,MAIN STREET,AYR,AY1,6CQ,ENG005,Fiona Cameron,CI,150
W2303013,W2303009,DUNDEE,DUNDEE,ASSET-5236,Gas smell report investigation,Customer reported smell,3,EM,YES,JOINT,Valve replaced,N,0,0,1,0,0,COMP,2026-05-26 15:09:17,2026-05-26 09:37:00,2026-05-26 15:09:17,LOC-DND-072,MARKET STREET,DUNDEE,DN9,6KA,ENG005,Fiona Cameron,ST,63
W2303014,W2303012,ABERDEEN,ABERDEEN,ASSET-8894,Gas smell report investigation,Corrosion on steel riser above ground,4,EM,NO  [Root WO: Gas in Property = NO],RISER,Pipe section renewed,Y,0,0,0,0,1,COMP,2026-05-26 13:42:33,2026-05-26 07:39:00,2026-05-26 13:42:33,LOC-ABD-149,UNION STREET,ABERDEEN,AB3,8TV,ENG012,Neil Forsyth,PE,150
W2303015,W2303011,DUNDEE,DUNDEE,ASSET-1925,Gas smell report investigation,No visible defect found on main,3,IR,NO,MAIN,Valve replaced,N,0,0,0,1,0,OPEN,2026-05-27 19:12:25,2026-05-27 11:47:00,2026-05-27 19:12:25,LOC-DND-885,BUCHANAN STREET,DUNDEE,DN1,5DY,ENG001,John MacDonald,CI,150
W2303016,W2303009,ABERDEEN,ABERDEEN,ASSET-7880,Service pipe leak repair,Root damage identified,1,EM,YES,RISER,Pipe section renewed,Y,0,0,0,0,1,OPEN,2026-05-26 16:36:32,2026-05-26 11:11:00,2026-05-26 16:36:32,LOC-ABD-268,KING STREET,ABERDEEN,AB4,2HN,ENG005,Fiona Cameron,CI,25
W2303017,W2303009,STIRLING,STIRLING,ASSET-2600,Corrosion repair on main,PE joint failure on low pressure,1,EM,NO,MAIN,Pipe section renewed,N,0,0,0,0,1,OPEN,2026-05-26 14:41:34,2026-05-26 09:36:00,2026-05-26 14:41:34,LOC-STL-575,ARGYLE STREET,STIRLING,ST7,3NE,ENG015,Diane Kerr,ST,63
W2303018,W2303013,PERTH,PERTH,ASSET-7722,Corrosion repair on main,Corrosion on steel riser above ground,3,IR,NO  [Root WO: Gas in Property = YES],JOINT,Clamp fitted,N,1,0,0,0,0,PEND,2026-05-26 17:10:33,2026-05-26 13:00:00,2026-05-26 17:10:33,LOC-PRT-372,CHURCH STREET,PERTH,PR6,2CV,ENG014,Ross Campbell,CI,32
W2303019,W2303011,MOTHERWELL,MOTHERWELL,ASSET-9872,Main repair following excavation,PE joint failure on low pressure,2,IR,NO  [Root WO: Gas in Property = NO],MAIN,Pipe section renewed,Y,0,0,1,0,0,OPEN,2026-05-27 13:49:35,2026-05-27 11:09:00,2026-05-27 13:49:35,LOC-MTH-409,ARGYLE STREET,MOTHERWELL,MT3,7FD,ENG008,Craig Burns,AC,100
W2303020,W2303010,PAISLEY,PAISLEY,ASSET-9367,Corrosion repair on main,Leak found at joint under pavement,1,MR,NO  [Root WO: Gas in Property = NO],METER,Section replaced with PE,Y,0,0,0,1,0,PEND,2026-05-26 10:55:48,2026-05-26 07:06:00,2026-05-26 10:55:48,LOC-PSL-383,MARKET STREET,PAISLEY,PS5,1BI,ENG004,Douglas Reid,PE,250
W2303021,W2303011,EDINBURGH,EDINBURGH,ASSET-7873,Valve replacement,Corrosion on steel riser above ground,3,ME,NO  [Root WO: Gas in Property = NO],JOINT,Pipe section renewed,N,0,0,0,1,0,CLOSE,2026-05-27 14:16:47,2026-05-27 12:13:00,2026-05-27 14:16:47,LOC-EDI-194,CHURCH STREET,EDINBURGH,ED8,9AG,ENG011,Sandra Gillies,PE,25
W2303022,W2303017,PAISLEY,PAISLEY,ASSET-5524,Meter bypass repair,Isolation required,3,ME,NO  [Root WO: Gas in Property = NO],SERVICE PIPE,Section replaced with PE,Y,0,0,0,1,0,CLOSE,2026-05-27 22:33:43,2026-05-27 13:48:00,2026-05-27 22:33:43,LOC-PSL-436,UNION STREET,PAISLEY,PS2,3BS,ENG008,Craig Burns,CI,150
W2303023,W2303016,DUNDEE,DUNDEE,ASSET-7550,PE pipe section renewal,Leak found at joint under pavement,2,IR,NO  [Root WO: Gas in Property = YES],MAIN,Valve replaced,Y,0,0,0,1,0,PEND,2026-05-27 16:17:10,2026-05-27 10:11:00,2026-05-27 16:17:10,LOC-DND-386,BUCHANAN STREET,DUNDEE,DN9,1ZY,ENG013,Lynn Murray,AC,100
W2303024,W2303015,AYR,AYR,ASSET-9055,Main repair following excavation,Isolation required,1,ME,NO  [Root WO: Gas in Property = NO],SERVICE PIPE,Riser section replaced,Y,0,0,1,0,0,PEND,2026-05-27 14:04:09,2026-05-27 06:02:00,2026-05-27 14:04:09,LOC-AYR-209,KING STREET,AYR,AY6,9VH,ENG011,Sandra Gillies,AC,200
W2303025,W2303021,STIRLING,STIRLING,ASSET-4230,PE pipe section renewal,Isolation required,1,MR,YES,VALVE,Clamp fitted,N,0,0,0,1,0,OPEN,2026-05-26 14:56:55,2026-05-26 08:20:00,2026-05-26 14:56:55,LOC-STL-295,HIGH STREET,STIRLING,ST7,9BS,ENG006,Kevin McAllister,CI,25
W2303026,W2303021,EDINBURGH,EDINBURGH,ASSET-3732,Joint failure investigation,Bypass valve faulty,3,ME,NO  [Root WO: Gas in Property = YES],VALVE,PE joint re-made,Y,0,1,0,0,0,COMP,2026-05-26 16:52:41,2026-05-26 13:40:00,2026-05-26 16:52:41,LOC-EDI-645,HIGH STREET,EDINBURGH,ED3,3TZ,ENG004,Douglas Reid,ST,25
W2303027,W2303025,PERTH,PERTH,ASSET-4944,Emergency service connection,Temporary clamp applied,4,IR,NO  [Root WO: Gas in Property = NO],VALVE,Clamp fitted,N,1,0,0,0,0,CLOSE,2026-05-26 12:49:02,2026-05-26 06:09:00,2026-05-26 12:49:02,LOC-PRT-676,UNION STREET,PERTH,PR9,6GC,ENG012,Neil Forsyth,CI,63
W2303028,W2303027,PAISLEY,PAISLEY,ASSET-1565,Routine repair WO,Root damage identified,4,IR,NO  [Root WO: Gas in Property = YES],JOINT,Valve replaced,N,0,1,0,0,0,CLOSE,2026-05-26 14:38:59,2026-05-26 10:39:00,2026-05-26 14:38:59,LOC-PSL-950,CHURCH STREET,PAISLEY,PS9,9ZW,ENG010,Brian Thomson,AC,150
W2303029,W2303021,ABERDEEN,ABERDEEN,ASSET-5462,Gas smell report investigation,Bypass valve faulty,2,MR,YES,VALVE,PE joint re-made,N,1,0,0,0,0,CLOSE,2026-05-26 15:02:58,2026-05-26 10:44:00,2026-05-26 15:02:58,LOC-ABD-335,MARKET STREET,ABERDEEN,AB9,5UN,ENG007,Morag Henderson,ST,200
W2303030,W2303026,ABERDEEN,ABERDEEN,ASSET-5818,Gas smell report investigation,Root damage identified,3,EM,YES,JOINT,Section replaced with PE,Y,0,1,0,0,0,PEND,2026-05-26 10:56:18,2026-05-26 08:22:00,2026-05-26 10:56:18,LOC-ABD-362,CHURCH STREET,ABERDEEN,AB9,4ZY,ENG003,Catriona Stewart,PE,100
W2303031,W2303022,PERTH,PERTH,ASSET-4387,Emergency service connection,Bypass valve faulty,4,EM,NO  [Root WO: Gas in Property = NO],JOINT,Section replaced with PE,Y,0,0,0,1,0,PEND,2026-05-26 16:41:50,2026-05-26 10:50:00,2026-05-26 16:41:50,LOC-PRT-415,MAIN STREET,PERTH,PR3,4OA,ENG006,Kevin McAllister,AC,25
W2303032,W2303025,DUNDEE,DUNDEE,ASSET-2512,Routine repair WO,Corrosion on steel riser above ground,3,ME,NO,MAIN,Clamp fitted,Y,1,0,0,0,0,PEND,2026-05-27 12:43:20,2026-05-27 06:18:00,2026-05-27 12:43:20,LOC-DND-155,ARGYLE STREET,DUNDEE,DN8,9OJ,ENG012,Neil Forsyth,CI,150
W2303033,W2303027,EDINBURGH,EDINBURGH,ASSET-6268,Main repair following excavation,Temporary clamp applied,1,IR,NO  [Root WO: Gas in Property = YES],MAIN,Valve replaced,N,0,0,0,1,0,COMP,2026-05-27 18:22:53,2026-05-27 13:18:00,2026-05-27 18:22:53,LOC-EDI-060,VICTORIA ROAD,EDINBURGH,ED3,3BE,ENG009,Lorna Mitchell,PE,250
W2303034,W2303024,EDINBURGH,EDINBURGH,ASSET-7845,Corrosion repair on main,Temporary clamp applied,3,IR,YES,SERVICE PIPE,Temporary repair applied,N,0,0,0,1,0,PEND,2026-05-26 11:57:48,2026-05-26 06:18:00,2026-05-26 11:57:48,LOC-EDI-473,PRINCES STREET,EDINBURGH,ED1,4SX,ENG010,Brian Thomson,AC,150
W2303035,W2303033,AYR,AYR,ASSET-9370,Valve replacement,Bypass valve faulty,1,MR,NO  [Root WO: Gas in Property = NO],RISER,Pipe section renewed,N,0,0,0,0,1,PEND,2026-05-27 12:44:08,2026-05-27 09:27:00,2026-05-27 12:44:08,LOC-AYR-600,BUCHANAN STREET,AYR,AY7,2MR,ENG006,Kevin McAllister,AC,25
W2303036,W2303028,PAISLEY,PAISLEY,ASSET-3090,Meter bypass repair,Excavation required,4,MR,NO,VALVE,Riser section replaced,N,0,0,0,0,1,CLOSE,2026-05-27 09:06:39,2026-05-27 06:21:00,2026-05-27 09:06:39,LOC-PSL-970,VICTORIA ROAD,PAISLEY,PS8,7KN,ENG005,Fiona Cameron,CI,32
W2303037,W2303029,MOTHERWELL,MOTHERWELL,ASSET-1523,Meter bypass repair,Root damage identified,4,MR,NO  [Root WO: Gas in Property = YES],JOINT,PE joint re-made,N,1,0,0,0,0,PEND,2026-05-27 18:19:52,2026-05-27 09:50:00,2026-05-27 18:19:52,LOC-MTH-451,BUCHANAN STREET,MOTHERWELL,MT3,4FF,ENG014,Ross Campbell,CI,63
W2303038,W2303034,INVERNESS,INVERNESS,ASSET-7544,Valve replacement,Excavation required,1,ME,NO,RISER,Temporary repair applied,Y,0,0,0,0,1,PEND,2026-05-27 16:43:15,2026-05-27 09:00:00,2026-05-27 16:43:15,LOC-INV-258,CHURCH STREET,INVERNESS,IN7,9RP,ENG002,Alistair Fraser,ST,32
W2303039,W2303031,EDINBURGH,EDINBURGH,ASSET-7555,Valve replacement,Corrosion on steel riser above ground,4,MR,NO  [Root WO: Gas in Property = NO],METER,PE joint re-made,N,0,0,0,1,0,COMP,2026-05-27 13:07:18,2026-05-27 10:12:00,2026-05-27 13:07:18,LOC-EDI-137,KING STREET,EDINBURGH,ED6,8HG,ENG011,Sandra Gillies,ST,63
W2303040,W2303037,GLASGOW,GLASGOW,ASSET-6558,Main repair following excavation,Bypass valve faulty,3,EM,NO  [Root WO: Gas in Property = NO],SERVICE PIPE,Pipe section renewed,N,0,1,0,0,0,OPEN,2026-05-27 11:32:33,2026-05-27 08:57:00,2026-05-27 11:32:33,LOC-GLW-428,ARGYLE STREET,GLASGOW,GL1,5VX,ENG001,John MacDonald,AC,200
W2303041,W2303036,EDINBURGH,EDINBURGH,ASSET-3845,Valve replacement,Customer reported smell,4,IR,NO  [Root WO: Gas in Property = YES],JOINT,Monitor and review,Y,0,0,0,0,1,CLOSE,2026-05-27 14:38:55,2026-05-27 08:41:00,2026-05-27 14:38:55,LOC-EDI-227,MARKET STREET,EDINBURGH,ED7,2IL,ENG004,Douglas Reid,ST,200
W2303042,W2303034,AYR,AYR,ASSET-9185,Corrosion repair on main,Temporary clamp applied,4,EM,NO  [Root WO: Gas in Property = NO],SERVICE PIPE,Pipe section renewed,Y,0,0,0,0,1,CLOSE,2026-05-27 15:13:09,2026-05-27 12:05:00,2026-05-27 15:13:09,LOC-AYR-604,PRINCES STREET,AYR,AY2,3CW,ENG006,Kevin McAllister,CI,63
W2303043,W2303042,AYR,AYR,ASSET-6671,Corrosion repair on main,No visible defect found on main,4,EM,NO  [Root WO: Gas in Property = YES],METER,Valve replaced,N,0,0,1,0,0,PEND,2026-05-27 19:12:41,2026-05-27 13:01:00,2026-05-27 19:12:41,LOC-AYR-567,MARKET STREET,AYR,AY3,1TC,ENG012,Neil Forsyth,ST,25
W2303044,W2303038,EDINBURGH,EDINBURGH,ASSET-3891,Meter bypass repair,Corrosion on steel riser above ground,3,IR,NO  [Root WO: Gas in Property = YES],VALVE,Monitor and review,Y,0,0,0,1,0,CLOSE,2026-05-27 14:08:56,2026-05-27 12:00:00,2026-05-27 14:08:56,LOC-EDI-393,VICTORIA ROAD,EDINBURGH,ED2,1GU,ENG013,Lynn Murray,ST,25
W2303045,W2303037,DUNDEE,DUNDEE,ASSET-9742,Valve replacement,Root damage identified,4,ME,YES,METER,Valve replaced,N,1,0,0,0,0,COMP,2026-05-27 12:11:59,2026-05-27 10:05:00,2026-05-27 12:11:59,LOC-DND-970,UNION STREET,DUNDEE,DN9,1CB,ENG014,Ross Campbell,AC,150
W2303046,W2303041,GLASGOW,GLASGOW,ASSET-8189,Routine repair WO,Bypass valve faulty,2,MR,YES,MAIN,Isolation applied,Y,0,0,1,0,0,CLOSE,2026-05-27 22:31:34,2026-05-27 13:33:00,2026-05-27 22:31:34,LOC-GLW-534,HIGH STREET,GLASGOW,GL9,7XN,ENG008,Craig Burns,PE,150
W2303047,W2303044,PERTH,PERTH,ASSET-1231,Emergency service connection,Leak found at joint under pavement,3,IR,NO,RISER,Pipe section renewed,Y,0,0,0,0,1,OPEN,2026-05-27 16:00:38,2026-05-27 07:50:00,2026-05-27 16:00:38,LOC-PRT-475,BUCHANAN STREET,PERTH,PR5,7IF,ENG001,John MacDonald,ST,100
W2303048,W2303041,DUNDEE,DUNDEE,ASSET-4269,Corrosion repair on main,Bypass valve faulty,1,IR,YES,RISER,Isolation applied,N,0,0,1,0,0,CLOSE,2026-05-26 15:57:29,2026-05-26 10:44:00,2026-05-26 15:57:29,LOC-DND-002,MARKET STREET,DUNDEE,DN1,6RK,ENG001,John MacDonald,ST,150
W2303049,W2303046,GLASGOW,GLASGOW,ASSET-9984,Corrosion repair on main,Customer reported smell,4,IR,YES,SERVICE PIPE,Temporary repair applied,N,0,0,0,0,1,PEND,2026-05-26 17:01:03,2026-05-26 12:47:00,2026-05-26 17:01:03,LOC-GLW-350,VICTORIA ROAD,GLASGOW,GL1,4NE,ENG006,Kevin McAllister,ST,63
W2303050,W2303040,PERTH,PERTH,ASSET-6942,Service riser inspection,Customer reported smell,4,EM,NO  [Root WO: Gas in Property = YES],VALVE,Section replaced with PE,Y,0,1,0,0,0,PEND,2026-05-27 16:22:01,2026-05-27 11:28:00,2026-05-27 16:22:01,LOC-PRT-343,PRINCES STREET,PERTH,PR7,7YB,ENG005,Fiona Cameron,PE,250
W2303051,W2303041,GLASGOW,GLASGOW,ASSET-6853,PE pipe section renewal,Bypass valve faulty,4,IR,NO,JOINT,PE joint re-made,N,0,0,0,0,1,OPEN,2026-05-26 19:48:33,2026-05-26 12:56:00,2026-05-26 19:48:33,LOC-GLW-038,MARKET STREET,GLASGOW,GL4,1DN,ENG008,Craig Burns,PE,150
W2303052,W2303044,DUNDEE,DUNDEE,ASSET-9960,PE pipe section renewal,Bypass valve faulty,3,MR,NO  [Root WO: Gas in Property = YES],RISER,PE joint re-made,N,0,1,0,0,0,PEND,2026-05-27 14:30:52,2026-05-27 08:10:00,2026-05-27 14:30:52,LOC-DND-735,CHURCH STREET,DUNDEE,DN9,9IK,ENG005,Fiona Cameron,PE,200
W2303053,W2303046,STIRLING,STIRLING,ASSET-2387,Meter bypass repair,Root damage identified,2,EM,NO,METER,Pipe section renewed,N,0,0,1,0,0,OPEN,2026-05-27 15:44:09,2026-05-27 11:16:00,2026-05-27 15:44:09,LOC-STL-809,HIGH STREET,STIRLING,ST1,9YR,ENG012,Neil Forsyth,CI,200
W2303054,W2303045,STIRLING,STIRLING,ASSET-4627,PE pipe section renewal,No visible defect found on main,4,MR,NO,VALVE,Clamp fitted,Y,1,0,0,0,0,PEND,2026-05-27 17:34:09,2026-05-27 09:20:00,2026-05-27 17:34:09,LOC-STL-307,BUCHANAN STREET,STIRLING,ST2,5MF,ENG013,Lynn Murray,ST,63
W2303055,W2303045,PAISLEY,PAISLEY,ASSET-0666,PE pipe section renewal,Temporary clamp applied,2,IR,NO,VALVE,Pipe section renewed,N,0,0,1,0,0,CLOSE,2026-05-26 16:24:33,2026-05-26 12:09:00,2026-05-26 16:24:33,LOC-PSL-053,MAIN STREET,PAISLEY,PS9,2YZ,ENG005,Fiona Cameron,ST,25
W2303056,W2303052,ABERDEEN,ABERDEEN,ASSET-3517,Emergency service connection,Temporary clamp applied,4,ME,NO,SERVICE PIPE,Clamp fitted,N,0,0,0,0,1,OPEN,2026-05-27 14:29:37,2026-05-27 07:40:00,2026-05-27 14:29:37,LOC-ABD-002,ARGYLE STREET,ABERDEEN,AB4,6KE,ENG012,Neil Forsyth,PE,150
W2303057,W2303055,MOTHERWELL,MOTHERWELL,ASSET-1091,Meter bypass repair,Customer reported smell,3,EM,NO  [Root WO: Gas in Property = NO],MAIN,Temporary repair applied,N,0,0,1,0,0,CLOSE,2026-05-27 21:12:17,2026-05-27 13:57:00,2026-05-27 21:12:17,LOC-MTH-561,PRINCES STREET,MOTHERWELL,MT3,7QU,ENG010,Brian Thomson,CI,100
W2303058,W2303057,PERTH,PERTH,ASSET-1464,Service pipe leak repair,Temporary clamp applied,3,EM,NO  [Root WO: Gas in Property = NO],VALVE,Temporary repair applied,Y,1,0,0,0,0,COMP,2026-05-27 15:59:28,2026-05-27 09:21:00,2026-05-27 15:59:28,LOC-PRT-477,HIGH STREET,PERTH,PR7,6FX,ENG015,Diane Kerr,ST,63
W2303059,W2303050,INVERNESS,INVERNESS,ASSET-2162,PE pipe section renewal,No visible defect found on main,4,MR,NO  [Root WO: Gas in Property = NO],RISER,PE joint re-made,N,1,0,0,0,0,COMP,2026-05-26 16:45:54,2026-05-26 13:34:00,2026-05-26 16:45:54,LOC-INV-645,HIGH STREET,INVERNESS,IN6,2GS,ENG015,Diane Kerr,ST,100
