LDZ,Depot,Workstream,Engineer,Engineer Name,Team Manager Name,Workorder No.,Job Type,Job Priority,Actual Start,Actual Finish,Time On Site (HH:MM:SS),Duration (Hours)
SC,PAISLEY,EMERGENCY,ENG002,Alistair Fraser,Steven Leckie,W5603464,MR,M1,2026-05-25 06:14:00,2026-05-25 11:02:00,04:48:00,4.8
NW,STOCKPORT,REPAIR,ENG013,Helen Morris,Dave Clarke,W5603465,IR,R1,2026-05-23 10:46:00,2026-05-23 19:28:00,08:41:59,8.7
EA,IPSWICH,REPAIR,ENG023,Sharon King,Anne Foster,W5603466,EM,R1,2026-05-23 09:45:00,2026-05-23 21:09:00,11:24:00,11.4
SE,BRIGHTON,METERING,ENG032,Colin James,Pat Nolan,W5603467,IR,M2,2026-05-22 08:28:00,2026-05-22 18:40:00,10:12:00,10.2
SO,SOUTHAMPTON,ROUTINE,ENG051,Wendy Nash,Phil Russell,W5603468,ME,E1,2026-05-25 08:56:00,2026-05-25 13:26:00,04:30:00,4.5
NT,NOTTINGHAM,ROUTINE,ENG060,Barry Noon,Sue Holt,W5603469,EM,E1,2026-05-25 09:50:00,2026-05-25 18:02:00,08:11:59,8.2
SC,GLASGOW,REPAIR,ENG006,Kevin McAllister,Gordon Shaw,W5603470,EM,E2,2026-05-22 08:38:00,2026-05-22 15:02:00,06:24:00,6.4
NW,LIVERPOOL,ROUTINE,ENG013,Helen Morris,Dave Clarke,W5603471,EM,E2,2026-05-26 10:41:00,2026-05-26 14:53:00,04:12:00,4.2
NW,LIVERPOOL,INSPECTION,ENG011,Karen Simmons,Gary Williams,W5603472,ME,M2,2026-05-27 11:41:00,2026-05-27 15:05:00,03:24:00,3.4
SE,MAIDSTONE,REPAIR,ENG033,Julie Price,Pat Nolan,W5603473,IR,R1,2026-05-22 10:47:00,2026-05-22 19:41:00,08:54:00,8.9
WM,WALSALL,EMERGENCY,ENG043,Diane Hunt,Tom Avery,W5603474,MR,E1,2026-05-27 06:04:00,2026-05-27 19:04:00,13:00:00,13.0
SE,EASTBOURNE,REPAIR,ENG031,Tracey McIntyre,Ray Ingram,W5603475,MR,M1,2026-05-21 11:28:00,2026-05-22 00:40:00,13:12:00,13.2
WM,COVENTRY,INSPECTION,ENG040,Wayne Edwards,Mark Reygate,W5603476,IR,R1,2026-05-22 08:59:00,2026-05-22 14:17:00,05:18:00,5.3
NW,BOLTON,METERING,ENG013,Helen Morris,Dave Clarke,W5603477,IR,R1,2026-05-25 06:12:00,2026-05-25 16:12:00,10:00:00,10.0
SE,EASTBOURNE,METERING,ENG032,Colin James,Pat Nolan,W5603478,IR,E2,2026-05-25 07:09:00,2026-05-25 16:39:00,09:30:00,9.5
SE,MAIDSTONE,INSPECTION,ENG033,Julie Price,Pat Nolan,W5603479,MR,M2,2026-05-23 10:23:00,2026-05-23 19:59:00,09:36:00,9.6
WM,WALSALL,INSPECTION,ENG040,Wayne Edwards,Mark Reygate,W5603480,RO,R1,2026-05-24 10:55:00,2026-05-25 02:43:00,15:48:00,15.8
NT,LINCOLN,ROUTINE,ENG062,Fred Archer,Sue Holt,W5603481,ME,E2,2026-05-25 07:26:00,2026-05-25 22:32:00,15:06:00,15.1
SO,SOUTHAMPTON,INSPECTION,ENG052,Chris Lamb,Phil Russell,W5603482,MR,R1,2026-05-21 07:48:00,2026-05-21 14:48:00,07:00:00,7.0
NW,BLACKBURN,ROUTINE,ENG013,Helen Morris,Dave Clarke,W5603483,IR,M2,2026-05-22 11:26:00,2026-05-23 01:56:00,14:30:00,14.5
EA,IPSWICH,EMERGENCY,ENG023,Sharon King,Anne Foster,W5603484,RO,R1,2026-05-21 08:08:00,2026-05-21 17:38:00,09:30:00,9.5
NE,MIDDLESBROUGH,INSPECTION,ENG070,Janet Robb,Bill Tyne,W5603485,EM,M2,2026-05-24 08:38:00,2026-05-24 18:38:00,10:00:00,10.0
WM,COVENTRY,METERING,ENG040,Wayne Edwards,Mark Reygate,W5603486,MR,M2,2026-05-25 08:57:00,2026-05-25 13:03:00,04:05:59,4.1
NT,DERBY,REPAIR,ENG060,Barry Noon,Sue Holt,W5603487,RO,E1,2026-05-22 11:27:00,2026-05-23 03:21:00,15:54:00,15.9
SO,SALISBURY,METERING,ENG050,Phil Hodgkins,Phil Russell,W5603488,EM,R1,2026-05-27 06:40:00,2026-05-27 22:22:00,15:42:00,15.7
SO,SOUTHAMPTON,INSPECTION,ENG052,Chris Lamb,Phil Russell,W5603489,MR,E2,2026-05-25 09:26:00,2026-05-25 11:56:00,02:30:00,2.5
NW,MANCHESTER,METERING,ENG010,Paul Dawson,Gary Williams,W5603490,RO,M2,2026-05-27 07:32:00,2026-05-27 16:50:00,09:18:00,9.3
NE,SUNDERLAND,INSPECTION,ENG071,Alan Shaw,Bill Tyne,W5603491,MR,M2,2026-05-27 09:25:00,2026-05-28 00:07:00,14:42:00,14.7
SC,EDINBURGH,EMERGENCY,ENG006,Kevin McAllister,Gordon Shaw,W5603492,EM,M2,2026-05-25 10:32:00,2026-05-25 12:38:00,02:06:00,2.1
SE,BRIGHTON,INSPECTION,ENG030,Stuart Porter,Ray Ingram,W5603493,EM,R1,2026-05-21 07:40:00,2026-05-21 18:22:00,10:42:00,10.7
EA,LUTON,ROUTINE,ENG023,Sharon King,Anne Foster,W5603494,RO,M2,2026-05-27 09:43:00,2026-05-27 13:19:00,03:36:00,3.6
SC,PERTH,EMERGENCY,ENG004,Douglas Reid,Graham Loan,W5603495,MR,E1,2026-05-27 08:40:00,2026-05-27 18:40:00,10:00:00,10.0
SO,BOURNEMOUTH,EMERGENCY,ENG050,Phil Hodgkins,Phil Russell,W5603496,RO,R2,2026-05-25 07:06:00,2026-05-25 16:48:00,09:42:00,9.7
SO,SALISBURY,REPAIR,ENG052,Chris Lamb,Phil Russell,W5603497,RO,M2,2026-05-27 10:46:00,2026-05-27 18:46:00,08:00:00,8.0
WM,STOKE,ROUTINE,ENG041,Una Cowling,Mark Reygate,W5603498,RO,E1,2026-05-21 07:58:00,2026-05-21 11:16:00,03:18:00,3.3
NE,MIDDLESBROUGH,REPAIR,ENG070,Janet Robb,Bill Tyne,W5603499,IR,E2,2026-05-26 08:20:00,2026-05-26 18:44:00,10:24:00,10.4
NT,DERBY,ROUTINE,ENG061,Cathy Dean,Sue Holt,W5603500,IR,E2,2026-05-21 08:22:00,2026-05-21 19:16:00,10:54:00,10.9
NT,LEICESTER,EMERGENCY,ENG060,Barry Noon,Sue Holt,W5603501,RO,M2,2026-05-25 09:58:00,2026-05-26 01:10:00,15:12:00,15.2
SC,ABERDEEN,INSPECTION,ENG002,Alistair Fraser,Steven Leckie,W5603502,IR,E1,2026-05-26 09:34:00,2026-05-27 01:22:00,15:48:00,15.8
SC,GLASGOW,ROUTINE,ENG003,Catriona Stewart,Graham Loan,W5603503,EM,E2,2026-05-23 08:28:00,2026-05-23 17:58:00,09:30:00,9.5
NW,MANCHESTER,METERING,ENG010,Paul Dawson,Gary Williams,W5603504,MR,R2,2026-05-21 09:29:00,2026-05-21 12:29:00,03:00:00,3.0
SC,ABERDEEN,METERING,ENG001,John MacDonald,Steven Leckie,W5603505,EM,R2,2026-05-26 06:36:00,2026-05-26 21:18:00,14:42:00,14.7
EA,IPSWICH,ROUTINE,ENG023,Sharon King,Anne Foster,W5603506,ME,E1,2026-05-27 09:06:00,2026-05-27 12:48:00,03:42:00,3.7
EA,IPSWICH,METERING,ENG023,Sharon King,Anne Foster,W5603507,ME,R1,2026-05-22 08:31:00,2026-05-22 18:07:00,09:36:00,9.6
SE,CROYDON,EMERGENCY,ENG030,Stuart Porter,Ray Ingram,W5603508,MR,R2,2026-05-25 07:52:00,2026-05-25 12:28:00,04:36:00,4.6
NW,MANCHESTER,REPAIR,ENG013,Helen Morris,Dave Clarke,W5603509,ME,R1,2026-05-23 10:14:00,2026-05-24 01:38:00,15:24:00,15.4
NT,DERBY,REPAIR,ENG060,Barry Noon,Sue Holt,W5603510,EM,R2,2026-05-25 09:17:00,2026-05-26 00:17:00,15:00:00,15.0
NE,GATESHEAD,EMERGENCY,ENG070,Janet Robb,Bill Tyne,W5603511,EM,M2,2026-05-24 06:59:00,2026-05-24 12:41:00,05:42:00,5.7
NW,WIGAN,METERING,ENG010,Paul Dawson,Gary Williams,W5603512,ME,E2,2026-05-26 10:04:00,2026-05-27 00:16:00,14:12:00,14.2
NW,BOLTON,INSPECTION,ENG012,Brian Cook,Gary Williams,W5603513,EM,E1,2026-05-23 10:45:00,2026-05-24 00:15:00,13:30:00,13.5
SC,INVERNESS,ROUTINE,ENG005,Fiona Cameron,Gordon Shaw,W5603514,MR,R1,2026-05-24 07:55:00,2026-05-24 17:19:00,09:24:00,9.4
NW,WIGAN,METERING,ENG012,Brian Cook,Gary Williams,W5603515,RO,R2,2026-05-22 09:47:00,2026-05-23 01:05:00,15:18:00,15.3
SO,BOURNEMOUTH,REPAIR,ENG051,Wendy Nash,Phil Russell,W5603516,IR,R1,2026-05-27 06:17:00,2026-05-27 18:59:00,12:42:00,12.7
SE,GUILDFORD,REPAIR,ENG033,Julie Price,Pat Nolan,W5603517,EM,M2,2026-05-26 11:48:00,2026-05-27 01:00:00,13:12:00,13.2
SE,MAIDSTONE,ROUTINE,ENG032,Colin James,Pat Nolan,W5603518,EM,R2,2026-05-22 07:41:00,2026-05-22 17:59:00,10:18:00,10.3
SO,BASINGSTOKE,METERING,ENG052,Chris Lamb,Phil Russell,W5603519,ME,R2,2026-05-26 11:03:00,2026-05-26 22:03:00,11:00:00,11.0
SE,EASTBOURNE,EMERGENCY,ENG030,Stuart Porter,Ray Ingram,W5603520,RO,M1,2026-05-21 09:25:00,2026-05-21 14:07:00,04:42:00,4.7
NW,BLACKBURN,EMERGENCY,ENG010,Paul Dawson,Gary Williams,W5603521,MR,R1,2026-05-21 08:10:00,2026-05-21 21:52:00,13:42:00,13.7
EA,CAMBRIDGE,INSPECTION,ENG020,Mark Holloway,Mark Booker,W5603522,ME,E1,2026-05-26 08:02:00,2026-05-26 18:50:00,10:48:00,10.8
SE,GUILDFORD,ROUTINE,ENG033,Julie Price,Pat Nolan,W5603523,MR,R1,2026-05-23 11:10:00,2026-05-23 20:16:00,09:06:00,9.1
EA,LUTON,ROUTINE,ENG021,Rachel Davies,Mark Booker,W5603524,EM,M2,2026-05-26 07:32:00,2026-05-26 20:02:00,12:30:00,12.5
NT,LINCOLN,METERING,ENG060,Barry Noon,Sue Holt,W5603525,MR,R1,2026-05-22 11:32:00,2026-05-23 01:20:00,13:48:00,13.8
SE,MAIDSTONE,EMERGENCY,ENG032,Colin James,Pat Nolan,W5603526,MR,M1,2026-05-25 11:07:00,2026-05-26 00:31:00,13:24:00,13.4
SC,GLASGOW,REPAIR,ENG003,Catriona Stewart,Graham Loan,W5603527,ME,R1,2026-05-24 06:25:00,2026-05-24 10:25:00,04:00:00,4.0
SE,EASTBOURNE,REPAIR,ENG030,Stuart Porter,Ray Ingram,W5603528,EM,M2,2026-05-26 07:24:00,2026-05-26 16:00:00,08:36:00,8.6
SE,BRIGHTON,REPAIR,ENG032,Colin James,Pat Nolan,W5603529,ME,M1,2026-05-26 09:19:00,2026-05-26 22:49:00,13:30:00,13.5
SO,SOUTHAMPTON,INSPECTION,ENG051,Wendy Nash,Phil Russell,W5603530,ME,E1,2026-05-26 10:55:00,2026-05-27 00:01:00,13:06:00,13.1
SC,ABERDEEN,INSPECTION,ENG006,Kevin McAllister,Gordon Shaw,W5603531,MR,M2,2026-05-25 11:32:00,2026-05-25 14:20:00,02:48:00,2.8
NW,BOLTON,EMERGENCY,ENG012,Brian Cook,Gary Williams,W5603532,MR,M1,2026-05-23 11:09:00,2026-05-23 23:45:00,12:36:00,12.6
NT,LEICESTER,ROUTINE,ENG062,Fred Archer,Sue Holt,W5603533,EM,R2,2026-05-25 11:36:00,2026-05-25 15:24:00,03:48:00,3.8
NT,LINCOLN,METERING,ENG061,Cathy Dean,Sue Holt,W5603534,RO,M2,2026-05-25 07:22:00,2026-05-25 15:28:00,08:06:00,8.1
SC,PERTH,METERING,ENG003,Catriona Stewart,Graham Loan,W5603535,IR,M2,2026-05-25 06:38:00,2026-05-25 16:50:00,10:12:00,10.2
SE,EASTBOURNE,REPAIR,ENG030,Stuart Porter,Ray Ingram,W5603536,MR,E2,2026-05-25 10:09:00,2026-05-25 22:39:00,12:30:00,12.5
EA,BEDFORD,METERING,ENG020,Mark Holloway,Mark Booker,W5603537,IR,E1,2026-05-27 07:50:00,2026-05-27 20:56:00,13:06:00,13.1
NW,BOLTON,ROUTINE,ENG014,Alan Sharp,Dave Clarke,W5603538,IR,R1,2026-05-26 10:32:00,2026-05-26 19:14:00,08:41:59,8.7
SE,BRIGHTON,REPAIR,ENG031,Tracey McIntyre,Ray Ingram,W5603539,IR,R2,2026-05-26 07:33:00,2026-05-26 18:09:00,10:36:00,10.6
NT,LEICESTER,INSPECTION,ENG061,Cathy Dean,Sue Holt,W5603540,IR,M2,2026-05-23 11:52:00,2026-05-23 17:04:00,05:12:00,5.2
NT,NOTTINGHAM,EMERGENCY,ENG061,Cathy Dean,Sue Holt,W5603541,MR,E2,2026-05-26 08:09:00,2026-05-26 21:09:00,13:00:00,13.0
EA,IPSWICH,ROUTINE,ENG022,Peter Wong,Mark Booker,W5603542,EM,M2,2026-05-24 11:09:00,2026-05-25 02:33:00,15:24:00,15.4
NE,GATESHEAD,INSPECTION,ENG070,Janet Robb,Bill Tyne,W5603543,IR,E2,2026-05-27 11:09:00,2026-05-27 22:33:00,11:24:00,11.4
SO,BASINGSTOKE,REPAIR,ENG050,Phil Hodgkins,Phil Russell,W5603544,RO,M1,2026-05-24 10:41:00,2026-05-25 00:17:00,13:36:00,13.6
SC,INVERNESS,ROUTINE,ENG003,Catriona Stewart,Graham Loan,W5603545,RO,E2,2026-05-24 06:50:00,2026-05-24 11:14:00,04:24:00,4.4
NW,BOLTON,EMERGENCY,ENG014,Alan Sharp,Dave Clarke,W5603546,EM,M2,2026-05-25 09:41:00,2026-05-25 21:53:00,12:12:00,12.2
NW,LIVERPOOL,METERING,ENG011,Karen Simmons,Gary Williams,W5603547,RO,M2,2026-05-23 06:37:00,2026-05-23 21:43:00,15:06:00,15.1
NW,WIGAN,METERING,ENG010,Paul Dawson,Gary Williams,W5603548,RO,M2,2026-05-22 06:50:00,2026-05-22 21:20:00,14:30:00,14.5
EA,NORWICH,ROUTINE,ENG023,Sharon King,Anne Foster,W5603549,ME,R2,2026-05-26 06:24:00,2026-05-26 15:18:00,08:54:00,8.9
SC,PERTH,INSPECTION,ENG004,Douglas Reid,Graham Loan,W5603550,IR,E1,2026-05-23 06:21:00,2026-05-23 09:15:00,02:54:00,2.9
WM,BIRMINGHAM,ROUTINE,ENG040,Wayne Edwards,Mark Reygate,W5603551,ME,E2,2026-05-24 08:53:00,2026-05-24 22:59:00,14:06:00,14.1
NE,NEWCASTLE,EMERGENCY,ENG072,Liz Cooke,Bill Tyne,W5603552,RO,M1,2026-05-23 06:48:00,2026-05-23 09:00:00,02:12:00,2.2
NT,DERBY,METERING,ENG062,Fred Archer,Sue Holt,W5603553,MR,R2,2026-05-26 07:53:00,2026-05-26 20:11:00,12:18:00,12.3
SC,STIRLING,METERING,ENG004,Douglas Reid,Graham Loan,W5603554,ME,R1,2026-05-25 07:19:00,2026-05-25 11:49:00,04:30:00,4.5
WM,COVENTRY,ROUTINE,ENG042,Steve Frost,Mark Reygate,W5603555,IR,R2,2026-05-25 09:10:00,2026-05-25 12:28:00,03:18:00,3.3
NW,BLACKBURN,METERING,ENG013,Helen Morris,Dave Clarke,W5603556,ME,R1,2026-05-26 11:46:00,2026-05-26 14:28:00,02:42:00,2.7
NW,LIVERPOOL,ROUTINE,ENG011,Karen Simmons,Gary Williams,W5603557,ME,E2,2026-05-25 10:37:00,2026-05-26 01:01:00,14:24:00,14.4
SE,HORSHAM,EMERGENCY,ENG032,Colin James,Pat Nolan,W5603558,IR,M1,2026-05-23 09:35:00,2026-05-23 18:17:00,08:41:59,8.7
EA,PETERBOROUGH,METERING,ENG023,Sharon King,Anne Foster,W5603559,MR,E2,2026-05-21 11:34:00,2026-05-22 00:22:00,12:48:00,12.8
NW,LIVERPOOL,EMERGENCY,ENG014,Alan Sharp,Dave Clarke,W5603560,EM,M1,2026-05-26 07:13:00,2026-05-26 18:07:00,10:54:00,10.9
WM,COVENTRY,METERING,ENG043,Diane Hunt,Tom Avery,W5603561,ME,M2,2026-05-23 07:05:00,2026-05-23 14:05:00,07:00:00,7.0
EA,IPSWICH,METERING,ENG022,Peter Wong,Mark Booker,W5603562,IR,R2,2026-05-21 11:36:00,2026-05-21 15:36:00,04:00:00,4.0
NW,LIVERPOOL,INSPECTION,ENG012,Brian Cook,Gary Williams,W5603563,IR,M2,2026-05-24 10:40:00,2026-05-25 00:04:00,13:24:00,13.4
WM,STOKE,INSPECTION,ENG042,Steve Frost,Mark Reygate,W5603564,ME,R2,2026-05-23 08:37:00,2026-05-23 21:07:00,12:30:00,12.5
SC,PAISLEY,METERING,ENG006,Kevin McAllister,Gordon Shaw,W5603565,EM,M2,2026-05-26 09:01:00,2026-05-26 18:01:00,09:00:00,9.0
NW,STOCKPORT,ROUTINE,ENG010,Paul Dawson,Gary Williams,W5603566,ME,E2,2026-05-21 09:07:00,2026-05-21 14:25:00,05:18:00,5.3
SC,STIRLING,INSPECTION,ENG006,Kevin McAllister,Gordon Shaw,W5603567,RO,E1,2026-05-25 07:49:00,2026-05-25 23:13:00,15:24:00,15.4
WM,COVENTRY,INSPECTION,ENG041,Una Cowling,Mark Reygate,W5603568,RO,M1,2026-05-27 09:15:00,2026-05-27 20:27:00,11:12:00,11.2
SC,INVERNESS,REPAIR,ENG004,Douglas Reid,Graham Loan,W5603569,RO,M2,2026-05-25 11:39:00,2026-05-26 01:57:00,14:18:00,14.3
NT,LINCOLN,REPAIR,ENG061,Cathy Dean,Sue Holt,W5603570,MR,M1,2026-05-23 10:01:00,2026-05-23 15:13:00,05:12:00,5.2
SC,PAISLEY,REPAIR,ENG003,Catriona Stewart,Graham Loan,W5603571,MR,E2,2026-05-26 10:27:00,2026-05-26 21:51:00,11:24:00,11.4
WM,WOLVERHAMPTON,INSPECTION,ENG042,Steve Frost,Mark Reygate,W5603572,IR,M2,2026-05-23 06:24:00,2026-05-23 17:12:00,10:48:00,10.8
SC,STIRLING,REPAIR,ENG005,Fiona Cameron,Gordon Shaw,W5603573,IR,M1,2026-05-21 11:16:00,2026-05-21 18:58:00,07:42:00,7.7
SO,BOURNEMOUTH,INSPECTION,ENG050,Phil Hodgkins,Phil Russell,W5603574,IR,R2,2026-05-26 08:26:00,2026-05-26 11:08:00,02:42:00,2.7
WM,STOKE,INSPECTION,ENG043,Diane Hunt,Tom Avery,W5603575,IR,R2,2026-05-25 07:28:00,2026-05-25 17:46:00,10:18:00,10.3
SO,SALISBURY,ROUTINE,ENG052,Chris Lamb,Phil Russell,W5603576,IR,R1,2026-05-22 07:23:00,2026-05-22 22:05:00,14:42:00,14.7
SE,MAIDSTONE,ROUTINE,ENG032,Colin James,Pat Nolan,W5603577,ME,M1,2026-05-24 07:11:00,2026-05-24 13:05:00,05:54:00,5.9
SO,PORTSMOUTH,ROUTINE,ENG051,Wendy Nash,Phil Russell,W5603578,MR,R1,2026-05-23 11:33:00,2026-05-23 15:57:00,04:24:00,4.4
EA,LUTON,INSPECTION,ENG020,Mark Holloway,Mark Booker,W5603579,ME,M2,2026-05-22 10:47:00,2026-05-22 15:23:00,04:36:00,4.6
NE,MIDDLESBROUGH,ROUTINE,ENG070,Janet Robb,Bill Tyne,W5603580,RO,M1,2026-05-26 09:02:00,2026-05-26 13:02:00,04:00:00,4.0
SC,STIRLING,EMERGENCY,ENG002,Alistair Fraser,Steven Leckie,W5603581,IR,E2,2026-05-25 07:22:00,2026-05-25 16:16:00,08:54:00,8.9
EA,IPSWICH,INSPECTION,ENG022,Peter Wong,Mark Booker,W5603582,EM,E1,2026-05-24 07:48:00,2026-05-24 14:00:00,06:12:00,6.2
SO,SALISBURY,ROUTINE,ENG052,Chris Lamb,Phil Russell,W5603583,MR,E1,2026-05-26 10:03:00,2026-05-26 17:45:00,07:42:00,7.7
EA,CAMBRIDGE,ROUTINE,ENG023,Sharon King,Anne Foster,W5603584,EM,E1,2026-05-25 10:32:00,2026-05-25 18:32:00,08:00:00,8.0
NE,SUNDERLAND,ROUTINE,ENG072,Liz Cooke,Bill Tyne,W5603585,RO,M2,2026-05-22 07:30:00,2026-05-22 18:36:00,11:06:00,11.1
EA,IPSWICH,EMERGENCY,ENG022,Peter Wong,Mark Booker,W5603586,IR,R2,2026-05-23 09:26:00,2026-05-23 22:56:00,13:30:00,13.5
SC,PERTH,ROUTINE,ENG002,Alistair Fraser,Steven Leckie,W5603587,EM,R2,2026-05-23 11:09:00,2026-05-23 21:33:00,10:24:00,10.4
SC,PAISLEY,REPAIR,ENG002,Alistair Fraser,Steven Leckie,W5603588,ME,R2,2026-05-23 11:36:00,2026-05-23 16:36:00,05:00:00,5.0
WM,STOKE,REPAIR,ENG041,Una Cowling,Mark Reygate,W5603589,MR,E1,2026-05-23 11:58:00,2026-05-23 21:22:00,09:24:00,9.4
NW,BOLTON,ROUTINE,ENG011,Karen Simmons,Gary Williams,W5603590,EM,R2,2026-05-27 10:02:00,2026-05-27 16:26:00,06:24:00,6.4
NE,MIDDLESBROUGH,METERING,ENG070,Janet Robb,Bill Tyne,W5603591,IR,E1,2026-05-27 07:01:00,2026-05-27 21:31:00,14:30:00,14.5
SC,PERTH,REPAIR,ENG002,Alistair Fraser,Steven Leckie,W5603592,ME,E1,2026-05-26 09:01:00,2026-05-26 18:43:00,09:42:00,9.7
SE,GUILDFORD,METERING,ENG033,Julie Price,Pat Nolan,W5603593,EM,E2,2026-05-26 08:47:00,2026-05-26 18:35:00,09:48:00,9.8
NT,DERBY,EMERGENCY,ENG061,Cathy Dean,Sue Holt,W5603594,RO,R2,2026-05-25 07:12:00,2026-05-25 12:18:00,05:06:00,5.1
NE,NEWCASTLE,ROUTINE,ENG070,Janet Robb,Bill Tyne,W5603595,MR,M1,2026-05-24 09:57:00,2026-05-24 18:33:00,08:36:00,8.6
SO,BASINGSTOKE,REPAIR,ENG051,Wendy Nash,Phil Russell,W5603596,EM,R1,2026-05-21 08:35:00,2026-05-21 15:59:00,07:24:00,7.4
WM,WOLVERHAMPTON,REPAIR,ENG040,Wayne Edwards,Mark Reygate,W5603597,ME,E1,2026-05-24 06:38:00,2026-05-24 14:44:00,08:06:00,8.1
NT,MANSFIELD,EMERGENCY,ENG062,Fred Archer,Sue Holt,W5603598,MR,E2,2026-05-22 11:53:00,2026-05-22 20:17:00,08:24:00,8.4
SO,SOUTHAMPTON,REPAIR,ENG050,Phil Hodgkins,Phil Russell,W5603599,ME,M1,2026-05-25 07:39:00,2026-05-25 11:45:00,04:05:59,4.1
SO,SOUTHAMPTON,INSPECTION,ENG050,Phil Hodgkins,Phil Russell,W5603600,MR,M2,2026-05-24 09:41:00,2026-05-24 23:29:00,13:48:00,13.8
NT,MANSFIELD,REPAIR,ENG062,Fred Archer,Sue Holt,W5603601,EM,M2,2026-05-23 06:16:00,2026-05-23 16:16:00,10:00:00,10.0
NT,DERBY,ROUTINE,ENG061,Cathy Dean,Sue Holt,W5603602,RO,E1,2026-05-24 09:06:00,2026-05-24 14:00:00,04:54:00,4.9
NW,BOLTON,INSPECTION,ENG011,Karen Simmons,Gary Williams,W5603603,IR,M1,2026-05-27 07:06:00,2026-05-27 09:18:00,02:12:00,2.2
NE,MIDDLESBROUGH,ROUTINE,ENG071,Alan Shaw,Bill Tyne,W5603604,MR,M1,2026-05-27 08:42:00,2026-05-27 19:54:00,11:12:00,11.2
NE,NEWCASTLE,INSPECTION,ENG070,Janet Robb,Bill Tyne,W5603605,EM,R1,2026-05-24 08:52:00,2026-05-24 19:16:00,10:24:00,10.4
SE,MAIDSTONE,INSPECTION,ENG031,Tracey McIntyre,Ray Ingram,W5603606,EM,M1,2026-05-24 06:32:00,2026-05-24 16:38:00,10:06:00,10.1
NE,DURHAM,ROUTINE,ENG071,Alan Shaw,Bill Tyne,W5603607,RO,M2,2026-05-22 08:01:00,2026-05-22 19:07:00,11:06:00,11.1
WM,BIRMINGHAM,EMERGENCY,ENG043,Diane Hunt,Tom Avery,W5603608,RO,M2,2026-05-26 08:53:00,2026-05-27 00:53:00,16:00:00,16.0
SE,MAIDSTONE,INSPECTION,ENG033,Julie Price,Pat Nolan,W5603609,RO,M1,2026-05-23 09:19:00,2026-05-23 20:37:00,11:18:00,11.3
NT,MANSFIELD,REPAIR,ENG061,Cathy Dean,Sue Holt,W5603610,IR,R1,2026-05-21 09:20:00,2026-05-21 23:32:00,14:12:00,14.2
SE,MAIDSTONE,ROUTINE,ENG033,Julie Price,Pat Nolan,W5603611,RO,M2,2026-05-21 10:50:00,2026-05-21 19:02:00,08:11:59,8.2
EA,NORWICH,ROUTINE,ENG021,Rachel Davies,Mark Booker,W5603612,IR,E2,2026-05-23 09:34:00,2026-05-23 15:40:00,06:06:00,6.1
WM,BIRMINGHAM,METERING,ENG041,Una Cowling,Mark Reygate,W5603613,RO,E2,2026-05-24 06:41:00,2026-05-24 14:05:00,07:24:00,7.4
NE,SUNDERLAND,EMERGENCY,ENG071,Alan Shaw,Bill Tyne,W5603614,ME,R2,2026-05-23 08:17:00,2026-05-23 14:05:00,05:48:00,5.8
NT,DERBY,INSPECTION,ENG060,Barry Noon,Sue Holt,W5603615,EM,R1,2026-05-27 06:09:00,2026-05-27 10:51:00,04:42:00,4.7
SC,PAISLEY,INSPECTION,ENG002,Alistair Fraser,Steven Leckie,W5603616,IR,R1,2026-05-21 07:33:00,2026-05-21 12:03:00,04:30:00,4.5
NW,STOCKPORT,EMERGENCY,ENG013,Helen Morris,Dave Clarke,W5603617,RO,E1,2026-05-24 10:59:00,2026-05-24 13:11:00,02:12:00,2.2
NW,MANCHESTER,ROUTINE,ENG011,Karen Simmons,Gary Williams,W5603618,EM,M1,2026-05-22 08:18:00,2026-05-23 00:12:00,15:54:00,15.9
SO,BOURNEMOUTH,INSPECTION,ENG052,Chris Lamb,Phil Russell,W5603619,ME,R2,2026-05-24 08:10:00,2026-05-24 15:22:00,07:12:00,7.2
SE,MAIDSTONE,REPAIR,ENG032,Colin James,Pat Nolan,W5603620,RO,E1,2026-05-22 06:57:00,2026-05-22 22:21:00,15:24:00,15.4
NW,BLACKBURN,INSPECTION,ENG010,Paul Dawson,Gary Williams,W5603621,MR,M1,2026-05-23 10:50:00,2026-05-23 13:32:00,02:42:00,2.7
NT,LINCOLN,INSPECTION,ENG061,Cathy Dean,Sue Holt,W5603622,IR,R2,2026-05-24 11:51:00,2026-05-25 03:21:00,15:30:00,15.5
SO,BOURNEMOUTH,ROUTINE,ENG052,Chris Lamb,Phil Russell,W5603623,ME,M1,2026-05-27 07:53:00,2026-05-27 11:35:00,03:42:00,3.7
SE,MAIDSTONE,ROUTINE,ENG030,Stuart Porter,Ray Ingram,W5603624,EM,M2,2026-05-24 09:55:00,2026-05-24 15:01:00,05:06:00,5.1
NW,LIVERPOOL,INSPECTION,ENG013,Helen Morris,Dave Clarke,W5603625,RO,M2,2026-05-24 10:41:00,2026-05-24 22:47:00,12:06:00,12.1
NE,GATESHEAD,INSPECTION,ENG071,Alan Shaw,Bill Tyne,W5603626,MR,E1,2026-05-21 11:04:00,2026-05-21 18:46:00,07:42:00,7.7
WM,WALSALL,METERING,ENG040,Wayne Edwards,Mark Reygate,W5603627,RO,R1,2026-05-21 06:27:00,2026-05-21 21:51:00,15:24:00,15.4
